name,description,price,category
Paket Wedding Gold,Dokumentasi full day - 2 fotografer - 1 videografer - 500+ foto edit - 1 album magnetik - video cinematic 5 menit,8500000,Wedding
Paket Wedding Silver,Dokumentasi half day - 1 fotografer - 1 videografer - 300+ foto edit - video highlight 3 menit,5500000,Wedding
Paket Prewedding Outdoor,3 lokasi outdoor - 100 foto edit - cetak 20R 2 lembar - file digital semua,3500000,Prewedding
Paket Prewedding Studio,1 sesi studio 2 jam - 50 foto edit - cetak 10R 5 lembar - file digital,2000000,Prewedding
Paket Wisuda,1 jam sesi foto - 30 foto edit - cetak 4R 10 lembar - file digital,750000,Wisuda
Paket Keluarga,1 jam sesi foto keluarga indoor/outdoor - 40 foto edit - file digital semua,1200000,Keluarga
Paket Produk UMKM,Foto produk 20 item - background putih - editing warna - siap upload marketplace,1500000,Produk
Additional Photographer,Tambahan 1 fotografer untuk acara,1500000,Add-on
Additional Print Album,Album foto tambahan 20x30 magnetik 20 halaman,850000,Add-on
Drone Coverage,Dokumentasi drone untuk outdoor event - tergantung lokasi,1000000,Add-on
